duration;unit;convert;duration_conv;unit_conv
129;d;no;129;d
13;stg;no;13;remove
1.3;d;yes;31.2;h
135;d;no;135;d
137;d;no;137;d
14;stg;no;14;remove
1.4;h;yes;84;mi
1460;mi;yes;24.3333333333;h
149;d;no;149;d
1490;mi;yes;24.8333333333;h
15;stg;no;15;remove
157;d;no;157;d
166;wk;yes;1162;d
17.5;h;no;17.5;h
183;d;no;183;d
18.75;h;no;18.75;h
19;stg;no;19;remove
21;stg;no;21;remove
22;mo;yes;660;d
23;mi;no;23;mi
255;d;no;255;d
26;mo;yes;780;d
263;d;no;263;d
29;go;no;29;remove
3;hpf;no;3;remove
318;d;no;318;d
320;h;yes;13.3333333333;d
3.33;h;yes;199.8;mi
34;go;no;34;remove
37;mo;yes;1110;d
3.7;d;yes;88.8;h
3.8;d;yes;91.2;h
4.1;d;yes;98.4;h
4.1;h;yes;246;mi
412;d;no;412;d
4.3;h;yes;258;mi
4.8;d;yes;115.2;h
5.4;d;no;5.4;d
552;h;yes;23;d
6.3;d;no;6.3;d
7;brd;no;7;remove
72.3;d;no;72.3;d
81;h;no;81;h
85;mi;no;85;mi
9.5;h;no;9.5;h
0.38;h;yes;22.8;mi
0.45;h;yes;27;mi
0.78;h;yes;46.8;mi
0.9;h;yes;54;mi
0.92;h;yes;55.2;mi
1000;mi;yes;16.6666666667;h
10000;mi;yes;6.9444444444;d
105;wk;yes;735;d
10.5;h;no;10.5;h
106;h;no;106;h
11.5;h;no;11.5;h
116;d;no;116;d
12.2;h;no;12.2;h
125;mi;no;125;mi
134;h;yes;5.5833333333;d
143;h;yes;5.9583333333;d
146;h;yes;6.0833333333;d
161;h;yes;6.7083333333;d
166;h;yes;6.9166666667;d
178;d;no;178;d
18;hph;no;18;remove
180;h;yes;7.5;d
193;d;no;193;d
203;d;no;203;d
20.5;h;no;20.5;h
20.8;d;no;20.8;d
21;wk;yes;147;d
2.1;d;yes;50.4;h
220;d;no;220;d
220;h;yes;9.1666666667;d
249;d;no;249;d
2.5;mi;no;2.5;mi
25.6;d;no;25.6;d
27;mo;yes;810;d
28;mo;yes;840;d
28.7;d;no;28.7;d
295;d;no;295;d
3;ins;no;3;remove
320;d;no;320;d
39;mi;no;39;mi
4;stg;no;4;remove
42.5;d;no;42.5;d
4.3;d;yes;103.2;h
432;h;yes;18;d
4.4;h;yes;264;mi
45;dpf;no;45;remove
5;ge;no;5;remove
5.3;h;no;5.3;h
574;h;yes;23.9166666667;d
60;s;no;60;s
6.58;h;no;6.58;h
664;h;yes;27.6666666667;d
684;h;yes;28.5;d
7;yr;no;7;yr
75;dpf;no;75;remove
79;h;no;79;h
8;mi;no;8;mi
80;s;no;80;s
8.5;h;no;8.5;h
89;d;no;89;d
9;dpf;no;9;remove
90;hpf;no;90;remove
NR;epa;no;NR;remove
NR;fry;no;NR;remove
NR;nf;no;NR;remove
0.02;h;yes;1.2;mi
0.11;h;yes;6.6;mi
0.125;h;yes;7.5;mi
0.18;h;yes;10.8;mi
0.2;wk;yes;33.6;h
0.47;h;yes;28.2;mi
0.5;wk;yes;84;h
0.86;h;yes;51.6;mi
10;dps;no;10;remove
1008;h;yes;42;d
104;h;no;104;h
105;h;no;105;h
11;mi;no;11;mi
110;mi;no;110;mi
112;mi;no;112;mi
114;d;no;114;d
11.8;d;no;11.8;d
121;h;yes;5.0416666667;d
135;mi;no;135;mi
13.8;h;no;13.8;h
150;dph;no;150;remove
151;d;no;151;d
1.6;d;yes;38.4;h
163;d;no;163;d
16.5;d;no;16.5;d
168;hpf;no;168;remove
17;mi;no;17;mi
1.7;h;yes;102;mi
17.6;d;no;17.6;d
18.33;h;no;18.33;h
19;mi;no;19;mi
196;h;yes;8.1666666667;d
202;d;no;202;d
20.5;d;no;20.5;d
22;mi;no;22;mi
2.25;h;yes;135;mi
24;hph;no;24;remove
24.25;h;no;24.25;h
25;wk;yes;175;d
26;mi;no;26;mi
26.5;h;no;26.5;h
270;mi;no;270;mi
2.8;d;yes;67.2;h
2.8;h;yes;168;mi
280;d;no;280;d
28.5;d;no;28.5;d
304;d;no;304;d
31;mi;no;31;mi
3.2;h;yes;192;mi
33;mi;no;33;mi
342;h;yes;14.25;d
36;mo;yes;1080;d
36.71;d;no;36.71;d
39;h;no;39;h
4;dpf;no;4;remove
42;stg;no;42;remove
42.25;d;no;42.25;d
4.5;wk;yes;31.5;d
456;h;yes;19;d
459;d;no;459;d
4.6;h;yes;276;mi
47;hpf;no;47;remove
47;stg;no;47;remove
4.75;d;yes;114;h
4.75;h;yes;285;mi
48;mi;no;48;mi
48;s;no;48;s
5;dph;no;5;remove
514;d;no;514;d
5.21;d;no;5.21;d
54;hpf;no;54;remove
554;h;yes;23.0833333333;d
5.6;d;no;5.6;d
5.9;d;no;5.9;d
600;s;no;600;s
63;wk;yes;441;d
6.4;d;no;6.4;d
6.7;h;no;6.7;h
700;mi;yes;11.6666666667;h
7.3;d;no;7.3;d
754;h;yes;31.4166666667;d
8.3;h;no;8.3;h
87;h;no;87;h
NR;ant;no;NR;remove
NR;gs;no;NR;remove
0;yr;no;0;remove
0.037;h;yes;2.22;mi
0.067;h;yes;4.02;mi
0.32;h;yes;19.2;mi
0.52;h;yes;31.2;mi
0.53;h;yes;31.8;mi
0.63;h;yes;37.8;mi
0.65;h;yes;39;mi
0.68;h;yes;40.8;mi
0.7;d;yes;16.8;h
1;hv;no;1;remove
100;dpf;no;100;remove
103;mi;no;103;mi
10.6;d;no;10.6;d
11.4;h;no;11.4;h
11.5;d;no;11.5;d
11.5;mo;yes;345;d
116;h;no;116;h
119;h;no;119;h
123;d;no;123;d
125;h;yes;5.2083333333;d
127;h;yes;5.2916666667;d
132;d;no;132;d
13.6;h;no;13.6;h
138;h;yes;5.75;d
14.4;d;no;14.4;d
14.7;d;no;14.7;d
156;h;yes;6.5;d
1.58;h;yes;94.8;mi
164;h;yes;6.8333333333;d
16.4;h;no;16.4;h
16.67;h;no;16.67;h
173;d;no;173;d
18;dph;no;18;remove
181;mi;no;181;mi
18.3;d;no;18.3;d
18.5;h;no;18.5;h
190;h;yes;7.9166666667;d
1.92;h;yes;115.2;mi
195;h;yes;8.125;d
196;d;no;196;d
2;ins;no;2;remove
20.83;d;no;20.83;d
21;mi;no;21;mi
21;mo;yes;630;d
2.17;h;yes;130.2;mi
21.9;d;no;21.9;d
24;mi;no;24;mi
245;mi;no;245;mi
260;mi;no;260;mi
265;d;no;265;d
27;mi;no;27;mi
293;d;no;293;d
308;d;no;308;d
31;dph;no;31;remove
3.25;h;yes;195;mi
33;dph;no;33;remove
34;wk;yes;238;d
3.4;h;yes;204;mi
36;dph;no;36;remove
364;d;no;364;d
370;mi;yes;6.1666666667;h
38;dph;no;38;remove
